; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1987-08-20,Commémoration de la révolution du Roi et du peuple
1987-08-25,1er Moharram* (*estimated)
1987-11-03,Aid al Mawlid Annabawi* (*estimated)
1987-11-04,Aid al Mawlid Annabawi* (*estimated)
1987-11-06,Marche verte
1987-11-18,Fête de l'indépendance
1988-01-01,Nouvel an - Premier janvier
1988-01-11,Commémoration de la présentation du manifeste de l'indépendance
1988-03-03,Fête du Trône
1988-05-01,Fête du Travail
1988-05-16,Eid al-Fitr* (*estimated)
1988-05-17,Eid al-Fitr* (*estimated)
1988-07-09,Fête du Trône
1988-07-23,Eid al-Adha* (*estimated)
1988-07-24,Eid al-Adha* (*estimated)
1988-08-13,1er Moharram* (*estimated)
1988-08-14,Journée de Oued Ed-Dahab
1988-08-20,Commémoration de la révolution du Roi et du peuple
1988-10-22,Aid al Mawlid Annabawi* (*estimated)
1988-10-23,Aid al Mawlid Annabawi* (*estimated)
1988-11-06,Marche verte
1988-11-18,Fête de l'indépendance
1989-01-01,Nouvel an - Premier janvier
